,group,order,lat,long
198,27,198,34.107717,-118.196047
199,28,199,34.108743,-118.193852
200,28,200,34.108798,-118.193892
201,28,201,34.108688,-118.193815
202,28,202,34.108537,-118.193705
203,29,203,34.109758,-118.191942
204,29,204,34.109653,-118.19187
205,29,205,34.109715,-118.191913
206,30,206,34.110159,-118.190883
207,30,207,34.109985,-118.190759
208,30,208,34.110218,-118.190923
209,31,209,34.035996,-118.259942
210,31,210,34.036064,-118.260068
211,31,211,34.036034,-118.260011
212,31,212,34.035914,-118.2598
213,31,213,34.03582,-118.25963
214,31,214,34.036106,-118.260145
215,31,215,34.035852,-118.259686
216,31,216,34.035888,-118.259752
217,32,217,34.050729,-118.244217
218,32,218,34.050776,-118.244293
219,32,219,34.050812,-118.24435
220,32,220,34.050535,-118.243892
221,33,221,34.050655,-118.244096
222,33,222,34.050697,-118.244166
223,33,223,34.050625,-118.244048
224,34,224,34.04757,-118.246651
225,34,225,34.047744,-118.246852
226,34,226,34.047481,-118.246551
227,34,227,34.047878,-118.247003
228,34,228,34.047831,-118.24695
229,34,229,34.047607,-118.246693
230,34,230,34.047793,-118.246906
231,34,231,34.047518,-118.246594
232,35,232,34.043566,-118.251003
233,35,233,34.04361,-118.251066
234,35,234,34.043534,-118.250958
235,35,235,34.04364,-118.251111
236,36,236,34.042382,-118.252947
237,36,237,34.042326,-118.25288
238,36,238,34.042091,-118.252632
239,36,239,34.042149,-118.252695
240,36,240,34.042053,-118.252591
241,36,241,34.042422,-118.252986
242,37,242,33.779954,-118.261396
243,37,243,33.77995,-118.261471
244,37,244,33.77994,-118.261632
245,37,245,33.779945,-118.261562
246,38,246,33.778476,-118.262004
247,38,247,33.778472,-118.262076
248,38,248,33.778493,-118.261713
249,39,249,34.039769,-118.25621
250,39,250,34.039711,-118.256156
251,39,251,34.03966,-118.256109
252,40,252,34.072036,-118.36362
253,40,253,34.072164,-118.363622
254,40,254,34.072218,-118.363623
255,40,255,34.072082,-118.363621
256,40,256,34.075724,-118.363638
257,41,257,34.028241,-118.518064
258,41,258,34.028121,-118.518266
259,41,259,34.028272,-118.518012
260,41,260,34.028343,-118.517898
261,41,261,34.028373,-118.51785
262,41,262,34.028474,-118.517681
263,41,263,34.028514,-118.517612
264,41,264,34.028152,-118.518215
265,41,265,34.028543,-118.517564
266,42,266,34.073042,-118.37099
267,42,267,34.07312,-118.37099
268,42,268,34.072989,-118.37099
269,43,269,34.072748,-118.368906
270,43,270,34.072882,-118.368905
271,43,271,34.072804,-118.368905
272,44,272,34.075734,-118.362564
273,44,273,34.075869,-118.362566
274,44,274,34.075809,-118.362564
275,45,275,34.0726,-118.366824
276,45,276,34.072522,-118.366824
277,45,277,34.07265,-118.366825
278,45,278,34.07247,-118.366825
279,46,279,34.073168,-118.372046
280,47,280,34.072742,-118.367885
281,47,281,34.072795,-118.367886
282,48,282,34.072311,-118.364683
283,48,283,34.072183,-118.364682
284,48,284,34.072238,-118.364682
285,49,285,34.07586,-118.364702
286,49,286,34.075731,-118.364701
287,49,287,34.075811,-118.364702
288,50,288,34.10663,-118.199685
289,50,289,34.106591,-118.199658
290,51,290,34.050874,-118.240325
291,52,291,34.050713,-118.240466
292,52,292,34.050815,-118.240376
293,52,293,34.050757,-118.240426
294,53,294,34.073238,-118.323512
295,53,295,34.07424,-118.323514
296,53,296,34.073672,-118.323514
297,53,297,34.073896,-118.323514
298,53,298,34.073989,-118.323515
299,53,299,34.073929,-118.323515
300,53,300,34.073311,-118.323511
301,53,301,34.073706,-118.323514
302,53,302,34.074331,-118.323515
303,53,303,34.07421,-118.323514
304,53,304,34.074024,-118.323515
305,53,305,34.073863,-118.323513
306,53,306,34.073731,-118.323514
307,53,307,34.073369,-118.323512
308,53,308,34.0743,-118.323515
309,53,309,34.073832,-118.323515
310,53,310,34.074175,-118.323516
311,53,311,34.073186,-118.323512
312,53,312,34.074052,-118.323515
313,53,313,34.073957,-118.323515
314,53,314,34.074115,-118.323515
315,53,315,34.074271,-118.323515
316,53,316,34.073767,-118.323514
317,53,317,34.073637,-118.323514
318,53,318,34.073798,-118.323514
319,53,319,34.074083,-118.323515
320,53,320,34.074143,-118.323516
321,54,321,34.049162,-118.233697
322,54,322,34.048805,-118.233766
323,54,323,34.048861,-118.233755
324,54,324,34.049048,-118.233717
325,54,325,34.049108,-118.233708
326,54,326,34.04875,-118.233776
327,55,327,34.075694,-118.374149
328,55,328,34.075838,-118.37415
329,56,329,34.058141,-118.251444
330,56,330,34.057995,-118.251601
331,56,331,34.058047,-118.25155
332,56,332,34.058091,-118.251503
333,56,333,34.057895,-118.251696
334,56,334,34.05795,-118.251644
335,57,335,34.075692,-118.370996
336,58,336,34.058292,-118.247935
337,58,337,34.05798,-118.248226
338,58,338,34.058196,-118.248025
339,58,339,34.058042,-118.248168
340,58,340,34.058251,-118.247973
341,58,341,34.058146,-118.248071
342,58,342,34.05809,-118.248123
343,59,343,34.075864,-118.366841
344,59,344,34.075731,-118.36684
345,59,345,34.075804,-118.366838
346,60,346,34.075742,-118.372052
347,60,347,34.075687,-118.372054
348,60,348,34.075818,-118.372052
349,61,349,34.074501,-118.343914
350,61,350,34.073997,-118.343913
351,61,351,34.073766,-118.343914
352,61,352,34.073929,-118.343915
353,61,353,34.07381,-118.343914
354,61,354,34.074682,-118.343915
355,61,355,34.074125,-118.343914
356,61,356,34.07481,-118.343915
357,61,357,34.073878,-118.343914
358,61,358,34.074445,-118.343914
