date,count,fines
2015-11-17,8342,575580.0
2015-11-18,8318,575088.0
2015-11-19,8161,568544.0
2015-11-20,7212,499251.0
2015-11-21,441,30272.0
2015-11-22,2486,180108.0
2015-11-23,7368,513640.0
2015-11-24,7520,523341.0
2015-11-25,7044,493268.0
2015-11-26,1004,79818.0
2015-11-27,4382,314543.0
2015-11-28,345,25152.0
2015-11-29,2030,149129.0
2015-11-30,7051,492853.0
2015-12-01,7912,545189.0
2015-12-02,7538,521524.0
2015-12-03,7724,540876.0
2015-12-04,7084,494591.0
2015-12-05,442,37129.0
2015-12-06,2135,156115.0
2015-12-07,7224,503197.0
2015-12-08,7715,542277.0
2015-12-09,7094,499203.0
2015-12-10,7612,537853.0
2015-12-11,6800,470271.0
2015-12-12,408,26381.0
2015-12-13,1825,129809.0
2015-12-14,7672,536035.0
2015-12-15,8137,567557.0
2015-12-16,7910,562545.0
2015-12-17,8272,585394.0
2015-12-18,7183,494623.0
2015-12-19,445,29567.0
2015-12-20,2183,151650.0
2015-12-21,8235,588383.0
2015-12-22,8022,569491.0
2015-12-23,8513,596335.0
2015-12-24,8196,598660.0
2015-12-25,745,59845.0
2015-12-26,346,23846.0
2015-12-27,2143,152989.0
2015-12-28,7886,565240.0
2015-12-29,8133,576775.0
2015-12-30,7974,571729.0
2015-12-31,7557,553227.0
2016-01-01,1069,81599.0
2016-01-02,420,26097.0
2016-01-03,2124,151972.0
2016-01-04,7855,547832.0
2016-01-05,5865,407016.0
2016-01-06,6928,485732.0
2016-01-07,8266,576886.0
2016-01-08,8338,577556.0
2016-01-09,630,44164.0
2016-01-10,2028,145194.0
2016-01-11,9003,626804.0
2016-01-12,9261,648098.0
2016-01-13,9007,621401.0
2016-01-14,8617,600897.0
2016-01-15,8336,578621.0
2016-01-16,554,37253.0
2016-01-17,2247,156605.0
2016-01-18,1257,99093.0
2016-01-19,9830,682669.0
2016-01-20,8635,597612.0
2016-01-21,8524,591560.0
2016-01-22,7922,545362.0
2016-01-23,670,45029.0
2016-01-24,2214,156467.0
2016-01-25,8806,607926.0
2016-01-26,9245,635686.0
2016-01-27,8954,621803.0
2016-01-28,9175,628233.0
2016-01-29,8446,583527.0
2016-01-30,668,50999.0
2016-01-31,1829,133976.0
2016-02-01,7703,530949.0
2016-02-02,9174,624233.0
2016-02-03,9099,614978.0
2016-02-04,9062,619768.0
2016-02-05,8082,555904.0
2016-02-06,734,54142.0
2016-02-07,1919,136814.0
2016-02-08,7867,542299.0
2016-02-09,8494,570500.0
2016-02-10,8280,584753.0
2016-02-11,8510,589272.0
2016-02-12,8129,557213.0
2016-02-13,452,30604.0
2016-02-14,2201,163928.0
2016-02-15,1219,85566.0
2016-02-16,8600,598463.0
2016-02-17,7746,537671.0
2016-02-18,8104,562339.0
2016-02-19,7821,542358.0
2016-02-20,618,50356.0
2016-02-21,2497,178865.0
2016-02-22,8504,588925.0
2016-02-23,9339,638280.0
2016-02-24,8918,619884.0
2016-02-25,8778,609635.0
2016-02-26,8424,586544.0
2016-02-27,552,41646.0
2016-02-28,2531,184287.0
2016-02-29,8913,619839.0
2016-03-01,9100,614006.0
2016-03-02,8723,592827.0
2016-03-03,8798,613134.0
2016-03-04,8614,597099.0
2016-03-05,559,41692.0
2016-03-06,2297,165288.0
2016-03-07,5942,402384.0
2016-03-08,8671,603865.0
2016-03-09,8544,597965.0
2016-03-10,8719,604863.0
2016-03-11,7327,513035.0
2016-03-12,441,31421.0
2016-03-13,2377,165747.0
2016-03-14,8759,608833.0
2016-03-15,9053,633511.0
2016-03-16,8299,583840.0
2016-03-17,8372,588255.0
2016-03-18,7914,547830.0
2016-03-19,510,38936.0
2016-03-20,2094,153536.0
2016-03-21,8269,584267.0
2016-03-22,8814,616535.0
2016-03-23,7947,556807.0
2016-03-24,8345,582129.0
2016-03-25,8263,587011.0
2016-03-26,617,45262.0
2016-03-27,2245,172231.0
2016-03-28,3690,256303.0
2016-03-29,8402,586569.0
2016-03-30,7675,534396.0
2016-03-31,8334,585711.0
2016-04-01,7723,536359.0
2016-04-02,615,46836.0
2016-04-03,2377,173859.0
2016-04-04,7662,535641.0
2016-04-05,7916,557497.0
2016-04-06,7467,526969.0
2016-04-07,7883,548488.0
2016-04-08,6463,460087.0
2016-04-09,451,31533.0
2016-04-10,2203,159910.0
2016-04-11,7794,542777.0
2016-04-12,7663,532865.0
2016-04-13,7911,549507.0
2016-04-14,7813,548587.0
2016-04-15,7064,497558.0
2016-04-16,489,37972.0
2016-04-17,2227,158491.0
2016-04-18,7812,547494.0
2016-04-19,8339,580795.0
2016-04-20,8596,602294.0
2016-04-21,8197,577058.0
2016-04-22,7992,557717.0
2016-04-23,615,43054.0
2016-04-24,2132,156902.0
2016-04-25,8412,581980.0
2016-04-26,8614,610703.0
2016-04-27,8077,572590.0
2016-04-28,7931,564968.0
2016-04-29,7600,538682.0
2016-04-30,500,35057.0
2016-05-01,2545,181294.0
2016-05-02,8196,569159.0
2016-05-03,8702,612335.0
2016-05-04,8664,611127.0
2016-05-05,9366,651858.0
2016-05-06,8062,559105.0
2016-05-07,558,41021.0
2016-05-08,2267,161486.0
2016-05-09,8930,618484.0
2016-05-10,9236,644825.0
2016-05-11,8287,592999.0
2016-05-12,9182,645645.0
2016-05-13,8354,585027.0
2016-05-14,604,42007.0
2016-05-15,2354,163903.0
2016-05-16,8387,598925.0
2016-05-17,9000,623248.0
2016-05-18,8466,594143.0
2016-05-19,9156,640493.0
2016-05-20,7722,537072.0
2016-05-21,565,41209.0
2016-05-22,2201,162295.0
