Route No,Council District,Time Start,Time End,Boundaries
13P116 F,11,10:00 AM,12:00 PM,WILSHIRE BL. TO IOWA AV./ SAN DIEG FRWY TO BUNDY DR.
13P116 Th,11,10:00 AM,12:00 PM,WILSHIRE BL. TO IOWA AV./ SAN DIEG FRWY TO BUNDY DR.
13P117 F,11,8:00 AM,10:00 AM,SANTA MONICA BL. TO OLYMPIC BL. / SAN DIEGO FRWY. TO FEDERAL AV.
13P117 Th,11,8:00 AM,10:00 AM,SANTA MONICA BL. TO OLYMPIC BL. / SAN DIEGO FRWY. TO FEDERAL AV.
13P118 F,11,12:00 PM,3:00 PM,SANTA MONICA BL. TO OLYMPIC BL. / FEDERAL AV. TO BUNDY DR.
13P118 Th,11,12:00 PM,3:00 PM,SANTA MONICA BL. TO OLYMPIC BL. / FEDERAL AV. TO BUNDY DR.
13P133 F,11,9:00 AM,12:00 PM,SAN VICENTE BL. TO WILSHIRE BL. / SAN VICENTE BL. TO BUNDY DR.
13P133 Th,11,9:00 AM,12:00 PM,SAN VICENTE BL. TO WILSHIRE BL. / SAN VICENTE BL. TO BUNDY DR.
13P282 F,11,8:00 AM,10:00 AM,SUNSET BL. TO SAN VICENTE AV. / BRINGHAM AV. TO WESTGATE AV.
13P282 Th,11,8:00 AM,10:00 AM,SUNSET BL. TO SAN VICENTE AV. / BRINGHAM AV. TO WESTGATE AV.
13P286 F,11,9:00 AM,12:00 PM,MONTANA AV. TO WILSHIRE BL. / BUNDY DR. TO CARMELINA AV.
13P286 Th,11,9:00 AM,12:00 PM,MONTANA AV. TO WILSHIRE BL. / BUNDY DR. TO CARMELINA AV.
14P101 F,5,8:00 AM,11:00 AM,Sunset Bl. to LeConte Av. / Hilgard Av. to Sepulveda Bl.
14P101 Th,5,8:00 AM,11:00 AM,Sunset Bl. to LeConte Av. / Hilgard Av. to Sepulveda Bl.
14P198 M,5,8:00 AM,10:00 AM,Lindbrook Dr. to Santa Monica Bl. / Selby Av. to Westwood Bl.
14P198 Tu,5,8:00 AM,10:00 AM,Lindbrook Dr. to Santa Monica Bl. / Selby Av. to Westwood Bl.
14P199 F,5,10:00 AM,1:00 PM,Santa Monica Bl. to Olympic Bl. / Westwood Bl. to Sepulveda Bl.
14P199 Th,5,10:00 AM,1:00 PM,Santa Monica Bl. to Olympic Bl. / Westwood Bl. to Sepulveda Bl.
14P200 F,5,10:00 AM,1:00 PM,Santa Monica Bl. to Olympic Bl. / Parnell Av. to Westwood Bl.
