SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,ParkingPolicy,StreetCleaning,LatLng
EN421,17401 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.161551, -118.51374)"
AE131,201 S HEWITT ST,Single-Space,FLAT,$1.00,4HR,8A-6P Mon-Sat,,"(34.046724, -118.236191)"
SC365,11500 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.139669, -118.382735)"
MM266,600 HAUSER BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,8A-10A Tue,"(34.062943, -118.351376)"
LM505,7301 BEVERLY BL,Single-Space,FLAT,$1.00,1HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.076249, -118.350565)"
LM265,7251 MELROSE AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.083597, -118.347858)"
P213,801 ALMA REAL DR,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.04501, -118.525157)"
NH258,5300 LANKERSHIM BL,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.167425, -118.375971)"
PM48,3201 MOTOR AV,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,10A-12P Thu,"(34.02943, -118.410983)"
CB3577,801 S. GRAND AV,Single-Space,TOD,$1 - $3,4HR,"TANS 4P-6P Mon-Fri | PKG 8A-4P, 6P-8P Mon-Fri, 8A-8P Sat",,"(34.045327, -118.25855)"
LM513,7401 BEVERLY BL,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.076247, -118.351501)"
CB1354,1100 S. HOPE ST,Single-Space,TOD,$0.5 - $1,2HR,8A-8P Mon-Sat,,"(34.040982, -118.264112)"
LM324,7400 MELROSE AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.083518, -118.351631)"
CB4205,500 E 15TH ST,Single-Space,FLAT,$0.50,4HR,8A-6P Mon-Sat,,"(34.031907, -118.257849)"
TZ154,5500 YOLANDA AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,10A-12P Fri,"(34.171464, -118.540658)"
VW1193,2801 6TH ST,Single-Space,FLAT,$1.00,4HR,8A-6P Mon-Sat,,"(34.063528, -118.28359)"
VM205,8401 VERMONT AV,Single-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(33.961387, -118.291815)"
LH125,2400 WORKMAN ST,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,8A-10A Wed,"(34.074035, -118.214299)"
BF174C,600 CURSON AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.083449, -118.355253)"
HO159,1601 CAHUENGA BL,Single-Space,TOD,$1.5 - $3,2HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,"(34.101051, -118.329635)"
NH89,11100 MAGNOLIA BL,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.164836, -118.372864)"
